,vertices,delta,runtime,deltafactor,seed
0,10000,1416,2,97,0
1,10000,1416,2,98,0
2,10000,1416,2,99,0
3,10000,1416,2,96,0
4,10000,1416,2,95,0
5,10000,1118,2,98,1
6,10000,1118,2,96,1
7,10000,1118,2,99,1
8,10000,1118,2,97,1
9,10000,1118,2,95,1
10,10000,5547,2,98,2
11,10000,5547,2,96,2
12,10000,5547,2,99,2
13,10000,5547,2,97,2
14,10000,5547,2,95,2
15,10000,4861,2,98,3
16,10000,4861,2,96,3
17,10000,4861,2,99,3
18,10000,4861,2,95,3
19,10000,4861,2,97,3
20,10000,2368,2,98,4
21,10000,2368,2,96,4
22,10000,2368,2,95,4
23,10000,2368,2,99,4
24,10000,2368,2,97,4
25,10000,2243,2,98,5
26,10000,2243,2,99,5
27,10000,2243,2,97,5
28,10000,2243,3,96,5
29,10000,2243,3,95,5
30,10000,2292,2,98,6
31,10000,2292,2,99,6
32,10000,2292,2,97,6
33,10000,2292,2,96,6
34,10000,2292,2,95,6
35,10000,2395,2,98,7
36,10000,2395,2,97,7
37,10000,2395,2,95,7
38,10000,2395,2,96,7
39,10000,2395,3,99,7
40,10000,4451,2,98,8
41,10000,4451,2,97,8
42,10000,4451,2,96,8
43,10000,4451,2,95,8
44,10000,4451,2,99,8
45,10000,734,3,98,9
46,10000,734,2,97,9
47,10000,734,3,96,9
48,10000,734,3,95,9
49,10000,734,3,99,9
50,10000,1431,2,97,10
51,10000,1431,3,98,10
52,10000,1431,2,96,10
53,10000,1431,2,99,10
54,10000,1431,2,95,10
55,10000,954,2,97,11
56,10000,954,2,96,11
57,10000,954,2,98,11
58,10000,954,2,95,11
59,10000,954,3,99,11
60,10000,748,2,97,12
61,10000,748,2,95,12
62,10000,748,3,98,12
63,10000,748,3,96,12
64,10000,748,2,99,12
65,10000,2786,2,97,13
66,10000,2786,2,95,13
67,10000,2786,2,96,13
68,10000,2786,2,98,13
69,10000,2786,2,99,13
70,10000,2957,2,97,14
71,10000,2957,2,95,14
72,10000,2957,2,96,14
73,10000,2957,2,98,14
74,10000,2957,2,99,14
75,10000,1778,2,97,15
76,10000,1778,2,95,15
77,10000,1778,2,96,15
78,10000,1778,2,98,15
79,10000,1778,2,99,15
80,10000,1881,2,97,16
81,10000,1881,2,95,16
82,10000,1881,2,96,16
83,10000,1881,2,98,16
84,10000,1881,2,99,16
85,10000,2371,2,97,17
86,10000,2371,2,95,17
87,10000,2371,2,96,17
88,10000,2371,2,98,17
89,10000,2371,2,99,17
90,10000,3397,2,97,18
91,10000,3397,2,95,18
92,10000,3397,2,98,18
93,10000,3397,2,96,18
94,10000,3397,2,99,18
95,10000,1187,2,97,19
96,10000,1187,2,95,19
97,10000,1187,2,96,19
98,10000,1187,2,98,19
99,10000,1187,2,99,19
100,10000,1774,2,97,20
101,10000,1774,2,95,20
102,10000,1774,2,98,20
103,10000,1774,2,96,20
104,10000,1774,2,99,20
105,10000,894,2,95,21
106,10000,894,3,97,21
107,10000,894,2,98,21
108,10000,894,2,99,21
109,10000,894,3,96,21
110,10000,1706,2,95,22
111,10000,1706,2,97,22
112,10000,1706,2,98,22
113,10000,1706,2,99,22
114,10000,1706,2,96,22
115,10000,1697,2,95,23
116,10000,1697,2,97,23
117,10000,1697,2,98,23
118,10000,1697,2,99,23
119,10000,1697,2,96,23
120,10000,2935,2,95,24
121,10000,2935,2,97,24
122,10000,2935,2,98,24
123,10000,2935,2,96,24
124,10000,2935,3,99,24
125,10000,2469,2,95,25
126,10000,2469,2,97,25
127,10000,2469,2,98,25
128,10000,2469,2,96,25
129,10000,2469,2,99,25
130,10000,1836,2,95,26
131,10000,1836,2,97,26
132,10000,1836,2,98,26
133,10000,1836,2,96,26
134,10000,1836,2,99,26
135,10000,2022,2,95,27
136,10000,2022,2,97,27
137,10000,2022,2,98,27
138,10000,2022,2,96,27
139,10000,2022,2,99,27
140,10000,648,2,97,28
141,10000,648,3,95,28
142,10000,648,2,98,28
143,10000,648,2,96,28
144,10000,648,2,99,28
145,10000,1702,2,97,29
146,10000,1702,2,98,29
147,10000,1702,2,95,29
148,10000,1702,2,96,29
149,10000,1702,2,99,29
150,10000,1138,2,97,30
151,10000,1138,2,98,30
152,10000,1138,2,95,30
153,10000,1138,2,99,30
154,10000,1138,2,96,30
155,10000,1338,2,97,31
156,10000,1338,2,98,31
157,10000,1338,2,95,31
158,10000,1338,2,96,31
159,10000,1338,2,99,31
160,10000,5388,2,97,32
161,10000,5388,2,98,32
162,10000,5388,2,95,32
163,10000,5388,2,96,32
164,10000,5388,2,99,32
165,10000,3239,2,97,33
166,10000,3239,2,98,33
167,10000,3239,2,95,33
168,10000,3239,2,96,33
169,10000,3239,2,99,33
170,10000,1545,2,97,34
171,10000,1545,2,98,34
172,10000,1545,2,95,34
173,10000,1545,2,96,34
174,10000,1545,2,99,34
175,10000,4297,2,97,35
176,10000,4297,2,98,35
177,10000,4297,2,95,35
178,10000,4297,2,96,35
179,10000,4297,2,99,35
180,10000,1241,2,97,36
181,10000,1241,2,98,36
182,10000,1241,2,95,36
183,10000,1241,2,96,36
184,10000,754,2,97,37
185,10000,1241,2,99,36
186,10000,754,2,98,37
187,10000,754,2,95,37
188,10000,754,2,96,37
189,10000,754,2,99,37
190,10000,1412,3,97,38
191,10000,1412,2,98,38
192,10000,1412,2,95,38
193,10000,1412,2,96,38
194,10000,1412,2,99,38
195,10000,1186,2,98,39
196,10000,1186,2,95,39
197,10000,1186,3,97,39
198,10000,1186,2,96,39
199,10000,1186,3,99,39
200,10000,3145,2,95,40
201,10000,3145,2,98,40
202,10000,3145,2,97,40
203,10000,3145,2,96,40
204,10000,3145,2,99,40
205,10000,851,2,95,41
206,10000,851,3,98,41
207,10000,851,2,96,41
208,10000,851,3,97,41
209,10000,1091,2,95,42
210,10000,851,2,99,41
211,10000,1091,2,98,42
212,10000,1091,2,96,42
213,10000,1091,2,97,42
214,10000,4179,2,95,43
215,10000,1091,2,99,42
216,10000,4179,2,98,43
217,10000,4179,2,96,43
218,10000,4179,2,97,43
219,10000,1101,2,95,44
220,10000,4179,2,99,43
221,10000,1101,2,96,44
222,10000,1101,2,97,44
223,10000,1101,3,98,44
224,10000,2911,2,95,45
225,10000,1101,2,99,44
226,10000,2911,2,96,45
227,10000,2911,2,97,45
228,10000,2911,2,98,45
229,10000,2969,2,95,46
230,10000,2911,2,99,45
231,10000,2969,2,96,46
232,10000,2969,2,97,46
233,10000,2969,2,98,46
234,10000,1597,2,95,47
235,10000,2969,2,99,46
236,10000,1597,2,96,47
237,10000,1597,2,97,47
238,10000,1597,2,98,47
239,10000,843,2,95,48
240,10000,1597,2,99,47
241,10000,843,2,96,48
242,10000,843,3,97,48
243,10000,843,3,98,48
244,10000,1154,2,95,49
245,10000,843,2,99,48
246,10000,1154,2,96,49
247,10000,1154,2,98,49
248,10000,728,2,95,50
249,10000,1154,2,99,49
250,10000,1154,3,97,49
251,10000,728,3,96,50
252,10000,2765,2,95,51
253,10000,728,2,99,50
254,10000,728,3,98,50
255,10000,728,3,97,50
256,10000,2765,2,96,51
257,10000,2765,2,99,51
258,10000,1704,2,95,52
259,10000,2765,2,98,51
260,10000,2765,2,97,51
261,10000,1704,2,96,52
262,10000,1704,2,99,52
263,10000,1704,2,98,52
264,10000,798,3,95,53
265,10000,1704,2,97,52
266,10000,798,2,96,53
267,10000,798,2,98,53
268,10000,798,3,99,53
269,10000,798,2,97,53
270,10000,458,3,95,54
271,10000,458,2,96,54
272,10000,458,2,99,54
273,10000,458,3,98,54
274,10000,785,2,95,55
275,10000,458,3,97,54
276,10000,785,3,96,55
277,10000,785,2,98,55
278,10000,2269,2,95,56
279,10000,785,3,99,55
280,10000,785,2,97,55
281,10000,2269,2,96,56
282,10000,2222,2,95,57
283,10000,2269,2,98,56
284,10000,2269,2,99,56
285,10000,2269,2,97,56
286,10000,2222,2,96,57
287,10000,1303,2,95,58
288,10000,2222,2,98,57
289,10000,2222,2,99,57
290,10000,2222,2,97,57
291,10000,1303,2,96,58
292,10000,1303,2,98,58
293,10000,1303,2,99,58
294,10000,1303,2,97,58
295,10000,1162,3,95,59
296,10000,1162,2,96,59
297,10000,1162,2,98,59
298,10000,1162,2,99,59
299,10000,1162,2,97,59
300,10000,3817,2,95,60
301,10000,3817,2,96,60
302,10000,3817,2,98,60
303,10000,3817,2,99,60
304,10000,3817,2,97,60
305,10000,1265,2,96,61
306,10000,1265,2,95,61
307,10000,1265,2,98,61
308,10000,1265,2,99,61
309,10000,883,2,96,62
310,10000,1265,3,97,61
311,10000,883,3,95,62
312,10000,883,2,98,62
313,10000,883,2,99,62
314,10000,1071,2,96,63
315,10000,883,2,97,62
316,10000,1071,2,95,63
