,vertices,delta,runtime,deltafactor
0,10000,1416,2,100
1,10000,1118,2,100
2,10000,5547,2,100
3,10000,4861,2,100
4,10000,2368,2,100
5,10000,2243,2,100
6,10000,2292,2,100
7,10000,2395,2,100
8,10000,4451,2,100
9,10000,734,2,100
10,10000,1416,2,101
11,10000,1118,2,101
12,10000,5547,2,101
13,10000,4861,2,101
14,10000,2368,2,101
15,10000,2243,2,101
16,10000,2292,2,101
17,10000,2395,2,101
18,10000,4451,2,101
19,10000,734,2,101
20,10000,1416,2,102
21,10000,1118,2,102
22,10000,5547,2,102
23,10000,4861,2,102
24,10000,2368,2,102
25,10000,2243,2,102
26,10000,2292,2,102
27,10000,2395,2,102
28,10000,4451,2,102
29,10000,734,3,102
30,10000,1416,2,103
31,10000,1118,2,103
32,10000,5547,2,103
33,10000,4861,2,103
34,10000,2368,2,103
35,10000,2243,2,103
36,10000,2292,2,103
37,10000,2395,2,103
38,10000,4451,2,103
39,10000,734,2,103
40,10000,1416,2,104
41,10000,1118,2,104
42,10000,5547,2,104
43,10000,4861,2,104
44,10000,2368,2,104
45,10000,2243,2,104
46,10000,2292,2,104
47,10000,2395,2,104
48,10000,4451,2,104
49,10000,734,2,104
50,10000,1416,2,105
51,10000,1118,2,105
52,10000,5547,2,105
53,10000,4861,2,105
54,10000,2368,2,105
55,10000,2243,2,105
56,10000,2292,2,105
57,10000,2395,2,105
58,10000,4451,2,105
59,10000,734,2,105
60,10000,1416,2,106
61,10000,1118,2,106
62,10000,5547,2,106
63,10000,4861,2,106
64,10000,2368,2,106
65,10000,2243,2,106
66,10000,2292,2,106
67,10000,2395,2,106
68,10000,4451,2,106
69,10000,734,3,106
70,10000,1416,2,107
71,10000,1118,2,107
72,10000,5547,2,107
73,10000,4861,2,107
74,10000,2368,2,107
75,10000,2243,2,107
76,10000,2292,2,107
77,10000,2395,2,107
78,10000,4451,2,107
79,10000,734,3,107
80,10000,1416,2,108
81,10000,1118,3,108
82,10000,5547,2,108
83,10000,4861,2,108
84,10000,2368,2,108
85,10000,2243,2,108
86,10000,2292,2,108
87,10000,2395,2,108
88,10000,4451,2,108
89,10000,734,2,108
90,10000,1416,2,109
91,10000,1118,2,109
92,10000,5547,2,109
93,10000,4861,2,109
94,10000,2368,2,109
95,10000,2243,2,109
96,10000,2292,2,109
97,10000,2395,2,109
98,10000,4451,2,109
99,10000,734,2,109
100,10000,1416,2,110
101,10000,1118,3,110
102,10000,5547,2,110
103,10000,4861,2,110
104,10000,2368,2,110
105,10000,2243,2,110
106,10000,2292,3,110
107,10000,2395,2,110
108,10000,4451,2,110
109,10000,734,3,110
110,10000,1416,2,111
111,10000,1118,2,111
112,10000,5547,2,111
113,10000,4861,2,111
114,10000,2368,2,111
115,10000,2243,2,111
116,10000,2292,2,111
117,10000,2395,2,111
118,10000,4451,2,111
119,10000,734,2,111
120,10000,1416,2,112
121,10000,1118,2,112
