,vertices,delta,runtime
0,12,11,3
1,12,11,3
2,12,11,3
3,12,11,7
4,12,11,4
5,12,11,3
6,12,11,8
7,12,11,3
8,12,11,4
9,12,11,4
10,12,11,8
11,12,11,5
12,12,11,3
13,12,11,8
14,12,11,6
15,12,11,4
16,12,11,5
17,12,11,3
18,12,11,5
19,12,11,3
20,12,11,6
21,12,11,5
22,12,11,6
23,12,11,6
24,12,11,5
25,500012,27493,2
26,500012,19712,2
27,500012,17975,2
28,500012,18621,2
29,500012,60456,2
30,500012,12335,2
31,500012,16015,2
32,500012,14906,2
33,500012,43486,2
34,500012,19814,2
35,500012,23416,2
36,500012,11828,2
37,500012,94818,2
38,500012,13124,2
39,500012,70085,2
40,500012,38092,2
41,500012,25416,2
42,500012,20983,2
43,500012,37881,2
44,500012,94492,2
45,500012,28879,2
46,500012,18853,2
47,500012,32725,2
48,500012,15596,2
49,500012,29585,2
50,1000012,20582,2
51,1000012,28563,2
52,1000012,27228,2
53,1000012,272070,2
54,1000012,64524,2
55,1000012,30659,2
56,1000012,25079,2
57,1000012,16361,2
58,1000012,65345,2
59,1000012,27745,3
60,1000012,24589,2
61,1000012,76284,2
62,1000012,108247,2
63,1000012,101793,2
64,1000012,37828,2
65,1000012,26134,2
66,1000012,39892,2
67,1000012,41290,2
68,1000012,143766,2
69,1000012,21962,2
70,1000012,29972,2
71,1000012,16344,2
72,1000012,134097,2
73,1000012,119190,2
74,1000012,34175,2
75,1500012,66236,2
76,1500012,27551,2
77,1500012,28768,2
78,1500012,298247,2
79,1500012,20671,3
80,1500012,67656,2
81,1500012,25793,2
82,1500012,85837,2
83,1500012,48756,2
84,1500012,31322,2
85,1500012,78513,2
86,1500012,111626,2
87,1500012,103085,2
88,1500012,52416,2
89,1500012,99901,2
90,1500012,40914,2
91,1500012,44278,2
92,1500012,151049,2
93,1500012,21853,2
94,1500012,33320,2
95,1500012,39995,2
96,1500012,141102,2
97,1500012,499600,2
98,1500012,84600,2
99,1500012,29554,2
100,2000012,29006,2
101,2000012,66835,2
102,2000012,28393,2
103,2000012,313938,2
104,2000012,70624,2
105,2000012,67872,2
106,2000012,66464,2
107,2000012,86594,2
108,2000012,49762,2
109,2000012,31955,2
110,2000012,185741,2
111,2000012,79500,2
112,2000012,105202,2
113,2000012,53052,2
114,2000012,101633,2
115,2000012,56422,2
116,2000012,72860,2
117,2000012,156582,2
118,2000012,22072,2
119,2000012,104000,2
120,2000012,51338,2
121,2000012,144489,2
122,2000012,545450,2
123,2000012,164543,2
124,2000012,30587,2
125,2500012,68358,2
126,2500012,29244,2
127,2500012,27979,2
128,2500012,325912,2
129,2500012,71972,2
130,2500012,68659,2
131,2500012,66652,2
132,2500012,87477,2
133,2500012,66914,2
134,2500012,1208801,2
135,2500012,80308,2
136,2500012,190828,2
137,2500012,107315,2
138,2500012,53276,2
139,2500012,102352,2
140,2500012,56806,2
141,2500012,73237,2
142,2500012,160499,2
143,2500012,51000,2
144,2500012,104741,2
145,2500012,51945,2
146,2500012,147532,2
147,2500012,560705,2
148,2500012,166403,2
149,2500012,30825,2
150,3000012,68753,2
151,3000012,29518,2
152,3000012,38428,2
153,3000012,330041,2
154,3000012,170916,2
155,3000012,69142,2
156,3000012,66951,2
157,3000012,155618,2
158,3000012,67869,2
159,3000012,1323324,2
160,3000012,81182,2
161,3000012,194703,2
162,3000012,109018,2
163,3000012,53509,2
164,3000012,103987,2
165,3000012,57459,2
166,3000012,74894,2
167,3000012,163657,2
168,3000012,50894,2
169,3000012,105689,2
170,3000012,90694,2
171,3000012,149195,2
172,3000012,169229,2
173,3000012,585295,2
174,3000012,31306,2
175,3500012,645172,2
176,3500012,29447,2
177,3500012,337999,2
178,3500012,38415,2
179,3500012,172749,2
180,3500012,69163,2
181,3500012,67755,2
182,3500012,67802,2
183,3500012,157294,2
184,3500012,1418007,2
185,3500012,82017,2
186,3500012,246537,2
187,3500012,54066,2
188,3500012,109562,2
189,3500012,105823,2
190,3500012,57409,2
191,3500012,75231,2
192,3500012,51472,2
193,3500012,165148,2
194,3500012,106981,2
195,3500012,92241,2
196,3500012,150658,2
197,3500012,170936,2
198,3500012,607461,2
199,3500012,51876,2
200,4000012,657265,2
201,4000012,37861,2
202,4000012,342188,2
203,4000012,38840,2
204,4000012,173746,2
