,vertices,delta,runtime,deltafactor
0,10000,1416,2,100
1,10000,1118,2,100
2,10000,5547,2,100
3,10000,4861,2,100
4,10000,2368,2,100
5,10000,2243,2,100
6,10000,2292,2,100
7,10000,2395,2,100
8,10000,4451,2,100
9,10000,734,2,100
10,10000,1416,2,110
11,10000,1118,2,110
12,10000,5547,2,110
13,10000,4861,2,110
14,10000,2368,3,110
15,10000,2243,2,110
16,10000,2292,2,110
17,10000,2395,2,110
18,10000,4451,2,110
19,10000,734,2,110
20,10000,1416,2,120
21,10000,1118,3,120
22,10000,5547,2,120
23,10000,4861,2,120
24,10000,2368,2,120
25,10000,2243,2,120
26,10000,2292,2,120
27,10000,2395,2,120
28,10000,4451,2,120
29,10000,734,2,120
30,10000,1416,3,130
31,10000,1118,2,130
32,10000,5547,2,130
33,10000,4861,2,130
34,10000,2368,2,130
35,10000,2243,2,130
36,10000,2292,2,130
37,10000,2395,2,130
38,10000,4451,2,130
39,10000,734,2,130
40,10000,1416,2,140
41,10000,1118,2,140
42,10000,5547,2,140
43,10000,4861,2,140
44,10000,2368,2,140
45,10000,2243,2,140
46,10000,2292,2,140
47,10000,2395,2,140
48,10000,4451,2,140
49,10000,734,3,140
50,10000,1416,2,150
51,10000,1118,2,150
52,10000,5547,2,150
53,10000,4861,2,150
54,10000,2368,2,150
55,10000,2243,2,150
56,10000,2292,2,150
57,10000,2395,2,150
58,10000,4451,2,150
59,10000,734,3,150
60,10000,1416,2,160
61,10000,1118,2,160
62,10000,5547,2,160
63,10000,4861,2,160
64,10000,2368,2,160
65,10000,2243,2,160
66,10000,2292,2,160
67,10000,2395,2,160
68,10000,4451,2,160
69,10000,734,2,160
70,10000,1416,2,170
71,10000,1118,2,170
72,10000,5547,2,170
73,10000,4861,2,170
74,10000,2368,2,170
75,10000,2243,2,170
76,10000,2292,2,170
77,10000,2395,2,170
78,10000,4451,2,170
79,10000,734,2,170
80,10000,1416,3,180
81,10000,1118,3,180
82,10000,5547,2,180
83,10000,4861,2,180
84,10000,2368,2,180
85,10000,2243,3,180
86,10000,2292,3,180
87,10000,2395,2,180
88,10000,4451,2,180
89,10000,734,2,180
90,10000,1416,2,190
91,10000,1118,2,190
92,10000,5547,2,190
93,10000,4861,2,190
94,10000,2368,2,190
95,10000,2243,2,190
96,10000,2292,2,190
97,10000,2395,3,190
98,10000,4451,2,190
99,10000,734,3,190
100,10000,1416,3,200
101,10000,1118,2,200
102,10000,5547,2,200
103,10000,4861,2,200
104,10000,2368,2,200
105,10000,2243,3,200
106,10000,2292,2,200
107,10000,2395,3,200
108,10000,4451,2,200
109,10000,734,3,200
110,10000,1416,3,210
111,10000,1118,2,210
112,10000,5547,2,210
113,10000,4861,2,210
114,10000,2368,2,210
115,10000,2243,2,210
116,10000,2292,2,210
117,10000,2395,2,210
118,10000,4451,2,210
119,10000,734,3,210
120,10000,1416,2,220
121,10000,1118,2,220
