,vertices,delta,runtime,deltafactor,seed,attempt
0,1000,514,6,1600,0,0
1,1000,436,6,1600,1,0
2,10000,1416,4,1600,0,0
3,100000,9592,3,1600,0,0
4,100000,9546,3,1600,1,0
5,100000,9589,3,1600,2,0
6,100000,8629,3,1600,3,0
7,1000,0,0,1600,2,0
8,10000,0,0,1600,1,0
9,100000,8172,3,1600,4,0
10,100000,8049,3,1600,5,0
11,100000,8100,3,1600,6,0
12,100000,8191,4,1600,7,0
13,1000,0,0,1600,2,1
14,10000,0,0,1600,1,1
15,100000,8090,3,1600,8,0
16,1000,0,0,1600,2,2
17,10000,0,0,1600,1,2
18,1000000,13333,3,1600,0,0
19,1000,0,0,1600,2,3
20,10000,0,0,1600,1,3
21,100000,0,0,1600,9,0
22,1000,0,0,1600,2,4
23,10000,0,0,1600,1,4
24,100000,4794,5,1600,9,1
25,100000,4761,3,1600,10,0
26,100000,4800,3,1600,11,0
27,100000,4848,4,1600,12,0
28,1000,0,0,1600,2,5
29,10000,0,0,1600,1,5
30,10000,1118,5,1600,1,6
31,10000,5547,3,1600,2,0
32,100000,4838,3,1600,13,0
33,10000,4861,3,1600,3,0
34,10000,2368,3,1600,4,0
35,10000,2243,4,1600,5,0
36,10000,2292,4,1600,6,0
37,10000,2395,4,1600,7,0
38,10000,4451,3,1600,8,0
39,1000000,13329,3,1600,1,0
40,100000,4830,4,1600,14,0
41,100000,4798,3,1600,15,0
42,100000,4754,3,1600,16,0
43,1000,0,0,1600,2,6
44,10000,0,0,1600,9,0
45,100000,4720,4,1600,17,0
46,100000,4785,4,1600,18,0
47,100000,3721,4,1600,19,0
48,1000,0,0,1600,2,7
49,10000,0,0,1600,9,1
50,100000,3609,5,1600,20,0
51,100000,3588,4,1600,21,0
52,100000,3618,4,1600,22,0
53,100000,11049,3,1600,23,0
54,1000,0,0,1600,2,8
55,10000,0,0,1600,9,2
56,100000,11020,3,1600,24,0
57,100000,11058,3,1600,25,0
58,100000,10914,3,1600,26,0
59,100000,10817,3,1600,27,0
60,1000,0,0,1600,2,9
61,10000,0,0,1600,9,3
62,1000000,13319,4,1600,2,0
63,100000,10865,3,1600,28,0
64,100000,10703,3,1600,29,0
65,100000,10708,3,1600,30,0
66,100000,10531,3,1600,31,0
67,1000,0,0,1600,2,10
68,10000,0,0,1600,9,4
69,100000,10607,3,1600,32,0
70,100000,7636,3,1600,33,0
71,100000,7571,4,1600,34,0
72,100000,7527,3,1600,35,0
73,1000,0,0,1600,2,11
74,10000,0,0,1600,9,5
75,100000,6237,3,1600,36,0
76,100000,6141,3,1600,37,0
77,100000,6147,3,1600,38,0
78,100000,6133,3,1600,39,0
79,1000,0,0,1600,2,12
80,10000,0,0,1600,9,6
81,10000,734,7,1600,9,7
82,100000,6161,3,1600,40,0
83,10000,1431,4,1600,10,0
84,1000000,13350,3,1600,3,0
85,100000,6205,4,1600,41,0
86,100000,6075,3,1600,42,0
87,100000,6003,3,1600,43,0
88,1000,0,0,1600,2,13
89,10000,0,0,1600,11,0
90,100000,4481,4,1600,44,0
91,1000,0,0,1600,2,14
92,10000,0,0,1600,11,1
93,1000,0,0,1600,2,15
94,10000,0,0,1600,11,2
95,1000000,13425,3,1600,4,0
96,100000,0,0,1600,45,0
97,1000,0,0,1600,2,16
