,vertices,delta,runtime,deltafactor,seed,attempt
0,1000,514,4,1600,0,0
1,1000,436,5,1600,1,0
2,10000,1416,3,1600,0,0
3,10000,1118,7,1600,1,0
4,10000,5547,3,1600,2,0
5,10000,4861,3,1600,3,0
6,10000,2368,3,1600,4,0
7,10000,2243,3,1600,5,0
8,10000,2292,3,1600,6,0
9,10000,2395,3,1600,7,0
10,10000,4451,3,1600,8,0
11,100000,9592,3,1600,0,0
12,100000,9546,3,1600,1,0
13,100000,9589,3,1600,2,0
14,1000,0,0,1600,2,0
15,100000,8629,3,1600,3,0
16,10000,0,0,1600,9,0
17,10000,1431,4,1600,10,0
18,100000,8172,3,1600,4,0
19,100000,8049,3,1600,5,0
20,100000,8100,3,1600,6,0
21,100000,8191,3,1600,7,0
22,1000,0,0,1600,3,0
23,10000,0,0,1600,11,0
24,100000,8090,3,1600,8,0
25,100000,4794,3,1600,9,0
26,100000,4761,3,1600,10,0
27,1000,0,0,1600,4,0
28,1000,605,3,1600,5,0
29,100000,4800,4,1600,11,0
30,1000000,13333,3,1600,0,0
31,10000,0,0,1600,12,0
32,10000,2786,4,1600,13,0
33,10000,2957,3,1600,14,0
34,10000,1778,4,1600,15,0
35,10000,1881,4,1600,16,0
36,10000,2371,4,1600,17,0
37,10000,3397,3,1600,18,0
38,10000,1187,4,1600,19,0
39,10000,1774,3,1600,20,0
40,10000,894,4,1600,21,0
41,10000,1706,4,1600,22,0
42,10000,1697,4,1600,23,0
43,10000,2935,3,1600,24,0
44,10000,2469,4,1600,25,0
45,10000,1836,4,1600,26,0
46,10000,2022,3,1600,27,0
47,1000,0,0,1600,6,0
48,10000,0,0,1600,28,0
49,10000,1702,4,1600,29,0
50,10000,1138,5,1600,30,0
51,10000,1338,4,1600,31,0
52,10000,5388,3,1600,32,0
53,10000,3239,3,1600,33,0
54,10000,1545,4,1600,34,0
55,10000,4297,3,1600,35,0
56,10000,1241,5,1600,36,0
57,1000,0,0,1600,7,0
58,10000,0,0,1600,37,0
59,100000,0,0,1600,12,0
60,100000,4838,3,1600,13,0
61,100000,4830,3,1600,14,0
62,1000,0,0,1600,8,0
63,100000,4798,4,1600,15,0
64,10000,0,0,1600,38,0
65,100000,4754,3,1600,16,0
66,1000,0,0,1600,9,0
67,1000000,13329,4,1600,1,0
68,10000,0,0,1600,39,0
69,10000,3145,3,1600,40,0
70,1000,0,0,1600,10,0
71,1000,382,4,1600,11,0
72,1000,446,5,1600,12,0
73,10000,0,0,1600,41,0
74,10000,1091,5,1600,42,0
75,10000,4179,3,1600,43,0
76,1000,0,0,1600,13,0
77,100000,0,0,1600,17,0
78,100000,4785,3,1600,18,0
79,10000,0,0,1600,44,0
80,10000,2911,3,1600,45,0
81,10000,2969,4,1600,46,0
82,10000,1597,4,1600,47,0
83,1000,0,0,1600,14,0
84,1000,474,4,1600,15,0
85,1000000,13319,3,1600,2,0
86,10000,0,0,1600,48,0
87,10000,1154,4,1600,49,0
88,1000,0,0,1600,16,0
89,10000,0,0,1600,50,0
90,10000,2765,3,1600,51,0
91,10000,1704,4,1600,52,0
92,100000,0,0,1600,19,0
93,1000,0,0,1600,17,0
94,1000,556,4,1600,18,0
95,100000,3609,4,1600,20,0
96,100000,3588,4,1600,21,0
97,10000,0,0,1600,53,0
98,100000,3618,4,1600,22,0
99,100000,11049,3,1600,23,0
100,1000,0,0,1600,19,0
