,vertices,delta,runtime
0,11,10,5
1,11,8,3
2,11,8,4
3,11,7,3
4,11,8,5
5,12,10,4
6,12,8,3
7,12,8,3
8,12,7,3
9,12,9,3
10,13,11,2
11,13,9,3
12,13,8,3
13,13,7,4
14,13,10,3
15,14,12,4
16,14,9,3
17,14,8,3
18,14,7,3
19,14,10,3
20,15,12,4
21,15,10,3
22,15,8,3
23,15,7,3
24,15,11,3
25,16,12,3
26,16,11,2
27,16,10,3
28,16,8,3
29,16,11,4
30,17,13,3
31,17,12,3
32,17,10,4
33,17,8,3
34,17,12,4
35,18,14,3
36,18,12,3
37,18,10,4
38,18,8,3
39,18,13,4
40,19,14,4
41,19,12,3
42,19,11,3
43,19,8,3
44,19,14,4
45,20,15,4
46,20,12,3
47,20,11,5
48,20,8,3
49,20,15,5
50,21,14,4
51,21,11,2
52,21,12,4
53,21,10,3
54,21,16,3
55,22,14,4
56,22,11,2
57,22,12,4
58,22,11,3
59,22,16,5
60,23,15,3
61,23,12,4
62,23,12,4
63,23,12,4
64,23,16,4
65,24,15,3
66,24,12,4
67,24,13,3
68,24,11,5
69,24,17,2
70,25,16,3
71,25,12,3
72,25,14,3
73,25,11,5
74,25,16,4
75,26,16,3
76,26,12,3
77,26,13,3
78,26,11,5
79,26,16,4
80,27,15,2
81,27,12,4
82,27,15,4
83,27,11,4
84,27,16,4
85,28,15,2
86,28,11,3
87,28,15,5
88,28,11,4
89,28,16,4
90,29,15,4
91,29,12,3
92,29,15,5
93,29,11,4
94,29,16,3
95,30,15,3
96,30,12,3
97,30,15,3
98,30,11,3
99,30,16,3
100,31,15,2
101,31,11,3
102,31,16,3
103,31,10,3
104,31,16,3
105,32,16,3
106,32,11,3
107,32,16,3
108,32,10,2
109,32,16,4
110,33,15,2
111,33,11,4
112,33,17,3
113,33,10,3
114,33,16,4
115,34,15,3
116,34,11,4
117,34,17,4
118,34,10,3
119,34,16,4
120,35,15,4
121,35,10,6
122,35,17,3
123,35,9,3
124,35,17,4
125,36,16,3
126,36,11,4
127,36,17,4
128,36,8,3
129,36,18,3
130,37,15,3
131,37,10,3
132,37,17,3
133,37,9,3
134,37,19,3
135,38,15,3
136,38,10,3
137,38,16,4
138,38,9,4
139,38,18,3
140,39,15,4
141,39,11,4
142,39,17,3
143,39,11,3
144,39,16,3
145,40,15,4
146,40,11,4
147,40,17,3
148,40,10,4
149,40,15,4
150,41,15,4
151,41,12,3
152,41,18,3
153,41,11,4
154,41,15,4
155,42,15,4
156,42,13,3
157,42,17,3
158,42,11,3
159,42,16,3
160,43,16,2
161,43,11,3
162,43,17,3
163,43,11,4
164,43,16,3
165,44,17,2
166,44,11,3
167,44,17,2
168,44,11,4
169,44,15,4
170,45,18,3
171,45,11,3
172,45,17,2
173,45,11,5
174,45,15,3
175,46,17,4
176,46,11,3
177,46,17,2
178,46,11,4
179,46,15,3
180,47,17,4
181,47,11,4
182,47,17,2
183,47,11,4
184,47,15,3
185,48,17,4
186,48,11,4
187,48,15,3
188,48,10,4
189,48,15,3
190,49,16,3
191,49,12,5
192,49,15,3
193,49,11,4
194,49,16,2
195,50,15,3
196,50,12,5
197,50,15,4
198,50,11,5
199,50,17,4
200,51,15,4
201,51,12,6
202,51,15,4
203,51,11,4
204,51,18,4
205,52,15,3
206,52,12,5
207,52,15,4
208,52,11,3
209,52,18,4
210,53,15,4
211,53,12,4
212,53,14,3
213,53,11,4
214,53,19,3
215,54,15,4
216,54,12,5
217,54,14,3
218,54,11,4
219,54,18,4
220,55,15,6
221,55,11,4
222,55,14,3
223,55,11,4
224,55,18,4
225,56,15,3
226,56,11,4
227,56,13,3
228,56,11,3
229,56,18,4
230,57,15,3
231,57,11,4
232,57,13,3
233,57,11,3
234,57,18,3
235,58,15,6
236,58,12,4
237,58,14,4
238,58,12,4
239,58,18,3
240,59,15,6
241,59,12,6
242,59,14,4
243,59,12,4
244,59,18,3
245,60,15,6
246,60,11,3
247,60,14,4
248,60,12,4
249,60,17,4
250,61,15,4
251,61,12,3
252,61,14,5
253,61,13,4
254,61,18,3
255,62,16,3
256,62,12,5
257,62,15,4
258,62,13,4
259,62,18,4
260,63,16,3
261,63,12,4
262,63,14,4
263,63,13,4
264,63,19,3
265,64,16,3
266,64,13,4
267,64,15,4
268,64,12,3
269,64,18,3
270,65,16,4
271,65,13,4
272,65,15,4
273,65,12,4
274,65,18,4
275,66,16,4
276,66,14,3
277,66,14,5
278,66,12,4
279,66,18,4
280,67,15,4
281,67,14,3
282,67,14,5
283,67,12,5
284,67,17,4
285,68,15,3
286,68,14,4
287,68,14,4
288,68,12,5
289,68,18,3
290,69,15,4
291,69,14,4
292,69,14,5
293,69,12,6
294,69,18,3
295,70,15,4
296,70,13,5
297,70,14,3
298,70,13,3
299,70,18,4
300,71,15,3
301,71,13,5
302,71,14,6
303,71,14,4
304,71,18,3
305,72,15,3
306,72,13,3
307,72,15,3
308,72,14,4
309,72,18,4
310,73,15,3
311,73,14,3
312,73,16,5
313,73,14,5
314,73,17,3
315,74,15,4
316,74,14,4
317,74,15,3
318,74,14,4
319,74,17,3
320,75,15,4
321,75,14,4
322,75,15,3
323,75,14,4
324,75,17,3
325,76,14,5
326,76,14,4
327,76,15,3
328,76,15,3
329,76,17,3
330,77,14,5
331,77,14,4
332,77,15,3
333,77,15,4
334,77,17,3
335,78,14,5
336,78,14,4
337,78,16,5
338,78,15,5
339,78,17,3
340,79,14,3
341,79,15,3
342,79,16,5
343,79,15,4
344,79,17,4
345,80,14,4
346,80,15,3
347,80,15,3
348,80,14,4
349,80,17,3
350,81,14,3
351,81,15,3
352,81,15,3
353,81,14,5
354,81,17,3
355,82,14,4
356,82,15,3
357,82,15,5
358,82,14,4
359,82,17,4
360,83,14,3
361,83,15,3
362,83,15,5
363,83,14,4
364,83,17,4
365,84,14,5
366,84,15,4
367,84,14,4
368,84,15,4
369,84,18,3
370,85,13,5
371,85,15,3
372,85,14,4
373,85,14,4
374,85,18,4
375,86,13,4
376,86,15,3
377,86,14,4
378,86,14,4
379,86,18,4
380,87,13,4
381,87,15,3
382,87,14,4
383,87,14,4
384,87,18,4
385,88,13,5
386,88,15,3
387,88,14,4
388,88,14,4
389,88,18,4
390,89,13,7
391,89,15,3
392,89,14,4
393,89,14,5
394,89,18,4
395,90,13,4
396,90,16,3
397,90,14,4
398,90,14,4
399,90,18,4
400,91,13,5
401,91,15,4
402,91,14,5
403,91,14,4
404,91,17,4
405,92,14,3
406,92,15,4
407,92,14,6
408,92,14,4
409,92,17,4
410,93,14,3
411,93,14,4
412,93,14,4
413,93,14,4
414,93,17,3
415,94,14,4
416,94,15,4
417,94,14,4
418,94,14,4
419,94,17,4
420,95,14,4
421,95,15,3
422,95,14,4
423,95,14,4
424,95,16,3
425,96,14,5
426,96,15,3
427,96,14,4
428,96,14,4
429,96,16,3
430,97,14,5
431,97,15,3
432,97,15,3
433,97,13,4
434,97,16,3
435,98,14,4
436,98,14,3
437,98,18,4
438,98,13,4
439,98,15,4
440,99,14,6
441,99,14,3
442,99,18,4
443,99,13,4
444,99,15,5
445,100,14,4
446,100,14,4
447,100,17,4
448,100,13,4
449,100,16,2
450,101,15,3
451,101,13,4
452,101,17,4
453,101,14,4
454,101,16,4
455,111,16,4
456,111,14,3
457,111,18,4
458,111,13,3
459,111,15,4
460,121,16,4
461,121,14,4
462,121,16,6
463,121,15,4
464,121,15,4
465,131,15,5
466,131,15,4
467,131,17,4
468,131,19,5
469,131,14,4
470,141,15,5
471,141,15,3
472,141,18,4
473,141,18,5
474,141,16,5
475,151,16,4
476,151,16,4
477,151,19,4
478,151,18,3
479,151,15,3
480,161,17,3
481,161,16,4
482,161,18,4
