,vertices,delta,runtime,deltafactor,seed
0,10000,1416,2,97,0
1,10000,1416,2,99,0
2,10000,1416,2,96,0
3,10000,1416,2,95,0
4,10000,1416,2,98,0
5,10000,1118,2,95,1
6,10000,1118,2,96,1
7,10000,1118,2,98,1
8,10000,1118,3,99,1
9,10000,1118,3,97,1
10,10000,5547,2,95,2
11,10000,5547,2,96,2
12,10000,5547,2,99,2
13,10000,5547,2,98,2
14,10000,5547,2,97,2
15,10000,4861,2,95,3
16,10000,4861,2,96,3
17,10000,4861,2,99,3
18,10000,4861,2,98,3
19,10000,4861,2,97,3
20,10000,2368,2,95,4
21,10000,2368,2,96,4
22,10000,2368,2,99,4
23,10000,2368,2,98,4
24,10000,2368,2,97,4
25,10000,2243,2,95,5
26,10000,2243,2,96,5
27,10000,2243,2,99,5
28,10000,2243,2,98,5
29,10000,2243,2,97,5
30,10000,2292,2,95,6
31,10000,2292,2,96,6
32,10000,2292,2,99,6
33,10000,2292,2,97,6
34,10000,2292,3,98,6
35,10000,2395,2,95,7
36,10000,2395,2,96,7
37,10000,2395,2,99,7
38,10000,2395,2,97,7
39,10000,2395,2,98,7
40,10000,4451,2,95,8
41,10000,4451,2,99,8
42,10000,4451,2,96,8
43,10000,4451,2,97,8
44,10000,4451,2,98,8
45,10000,734,3,95,9
46,10000,734,2,99,9
47,10000,734,2,96,9
48,10000,734,2,97,9
49,10000,734,2,98,9
50,10000,1431,2,95,10
51,10000,1431,2,96,10
52,10000,1431,2,97,10
53,10000,1431,2,99,10
54,10000,1431,2,98,10
55,10000,954,2,95,11
56,10000,954,2,99,11
57,10000,954,3,96,11
58,10000,954,3,97,11
59,10000,954,2,98,11
60,10000,748,2,95,12
61,10000,748,2,96,12
62,10000,748,2,97,12
63,10000,748,2,99,12
64,10000,2786,2,95,13
65,10000,748,3,98,12
66,10000,2786,2,96,13
67,10000,2786,2,99,13
68,10000,2786,3,97,13
69,10000,2957,2,95,14
70,10000,2786,2,98,13
71,10000,2957,2,96,14
72,10000,2957,2,99,14
73,10000,1778,2,95,15
74,10000,2957,2,97,14
75,10000,2957,2,98,14
76,10000,1778,2,96,15
77,10000,1778,2,99,15
78,10000,1778,2,97,15
79,10000,1881,2,95,16
80,10000,1778,2,98,15
81,10000,1881,2,96,16
82,10000,1881,2,99,16
83,10000,2371,2,95,17
84,10000,1881,2,98,16
85,10000,1881,3,97,16
86,10000,2371,2,96,17
87,10000,2371,2,99,17
88,10000,3397,2,95,18
89,10000,2371,2,98,17
90,10000,2371,2,97,17
91,10000,3397,2,96,18
92,10000,3397,2,99,18
93,10000,1187,2,95,19
94,10000,3397,2,98,18
95,10000,3397,2,97,18
96,10000,1187,2,96,19
97,10000,1187,2,99,19
98,10000,1416,2,95,0
99,10000,1187,2,98,19
100,10000,1416,2,96,0
101,10000,1187,2,97,19
102,10000,1118,2,95,1
103,10000,1416,2,99,0
104,10000,1416,2,98,0
105,10000,1118,2,96,1
106,10000,1416,2,97,0
107,10000,5547,2,95,2
108,10000,1118,2,98,1
109,10000,1118,3,99,1
110,10000,5547,2,96,2
111,10000,1118,2,97,1
112,10000,4861,2,95,3
113,10000,5547,2,98,2
114,10000,5547,2,99,2
115,10000,4861,2,96,3
116,10000,5547,2,97,2
117,10000,2368,2,95,4
118,10000,4861,2,99,3
119,10000,4861,2,98,3
120,10000,2368,2,96,4
121,10000,4861,2,97,3
122,10000,2243,2,95,5
123,10000,2368,2,99,4
124,10000,2368,2,98,4
125,10000,2243,2,96,5
126,10000,2368,2,97,4
127,10000,2243,2,99,5
128,10000,2292,2,95,6
129,10000,2243,2,98,5
130,10000,2292,2,96,6
131,10000,2243,3,97,5
132,10000,2292,2,99,6
133,10000,2395,2,95,7
134,10000,2292,2,98,6
135,10000,2395,2,96,7
136,10000,2292,2,97,6
137,10000,4451,2,95,8
138,10000,2395,2,99,7
139,10000,2395,2,98,7
140,10000,4451,2,96,8
141,10000,2395,2,97,7
142,10000,734,2,95,9
143,10000,4451,2,99,8
144,10000,4451,2,98,8
145,10000,734,2,96,9
146,10000,4451,2,97,8
147,10000,1431,2,95,10
148,10000,734,2,99,9
149,10000,734,2,98,9
150,10000,1431,2,96,10
151,10000,734,2,97,9
152,10000,954,3,95,11
153,10000,1431,2,98,10
154,10000,954,2,96,11
155,10000,1431,3,99,10
156,10000,1431,2,97,10
157,10000,954,2,98,11
158,10000,748,2,96,12
159,10000,748,2,95,12
160,10000,954,3,99,11
161,10000,954,2,97,11
162,10000,748,2,98,12
163,10000,2786,2,96,13
164,10000,748,2,97,12
165,10000,2786,2,95,13
166,10000,748,2,99,12
167,10000,2786,2,98,13
168,10000,2957,2,96,14
169,10000,2786,2,97,13
170,10000,2957,2,95,14
171,10000,2786,2,99,13
172,10000,2957,2,98,14
173,10000,1778,2,96,15
174,10000,2957,2,97,14
175,10000,1778,2,95,15
176,10000,2957,2,99,14
177,10000,1778,2,98,15
178,10000,1881,2,96,16
179,10000,1778,2,97,15
180,10000,1881,2,95,16
181,10000,1778,2,99,15
182,10000,1881,2,98,16
183,10000,2371,2,96,17
184,10000,1881,2,97,16
185,10000,2371,2,95,17
186,10000,1881,2,99,16
187,10000,2371,2,98,17
188,10000,3397,2,96,18
189,10000,3397,2,95,18
190,10000,2371,2,97,17
191,10000,2371,2,99,17
192,10000,3397,2,98,18
193,10000,1187,2,96,19
194,10000,1187,2,95,19
195,10000,3397,2,97,18
196,10000,3397,2,99,18
197,10000,1416,2,96,0
198,10000,1187,3,98,19
199,10000,1416,2,95,0
200,10000,1187,2,97,19
201,10000,1187,2,99,19
202,10000,1118,3,96,1
203,10000,1118,2,95,1
204,10000,1416,2,97,0
205,10000,1416,3,98,0
206,10000,1416,2,99,0
207,10000,5547,2,96,2
208,10000,5547,2,95,2
209,10000,1118,2,97,1
210,10000,1118,2,98,1
211,10000,1118,2,99,1
212,10000,4861,2,95,3
213,10000,4861,2,96,3
214,10000,5547,2,97,2
215,10000,5547,2,98,2
216,10000,5547,2,99,2
217,10000,2368,2,95,4
218,10000,2368,2,96,4
219,10000,4861,2,97,3
220,10000,4861,2,98,3
221,10000,4861,2,99,3
222,10000,2243,2,95,5
223,10000,2243,2,96,5
224,10000,2368,2,97,4
225,10000,2368,2,98,4
226,10000,2368,2,99,4
227,10000,2292,2,95,6
228,10000,2292,2,96,6
229,10000,2243,2,97,5
230,10000,2243,2,98,5
231,10000,2243,2,99,5
232,10000,2395,2,96,7
233,10000,2395,3,95,7
234,10000,2292,2,97,6
235,10000,2292,2,98,6
236,10000,2292,2,99,6
237,10000,4451,2,96,8
238,10000,4451,2,95,8
239,10000,2395,2,97,7
240,10000,2395,2,99,7
241,10000,734,2,96,9
242,10000,2395,3,98,7
243,10000,734,2,95,9
244,10000,4451,2,97,8
245,10000,4451,2,99,8
246,10000,1431,2,96,10
247,10000,1431,2,95,10
248,10000,4451,2,98,8
249,10000,734,2,97,9
250,10000,734,2,99,9
251,10000,954,2,96,11
252,10000,734,2,98,9
253,10000,954,2,95,11
254,10000,1431,2,97,10
255,10000,748,2,96,12
256,10000,1431,2,98,10
257,10000,748,2,95,12
258,10000,1431,3,99,10
259,10000,954,2,97,11
260,10000,2786,2,96,13
261,10000,2786,2,95,13
262,10000,954,2,99,11
263,10000,954,2,98,11
264,10000,748,3,97,12
265,10000,2957,2,96,14
266,10000,748,2,99,12
267,10000,2957,2,95,14
268,10000,748,2,98,12
269,10000,2786,2,97,13
270,10000,1778,2,96,15
271,10000,2786,2,99,13
272,10000,2786,2,98,13
273,10000,1778,2,95,15
274,10000,2957,2,97,14
275,10000,1881,2,96,16
276,10000,2957,2,99,14
277,10000,2957,2,98,14
278,10000,1881,2,95,16
279,10000,1778,2,97,15
280,10000,2371,2,96,17
281,10000,1778,2,98,15
282,10000,1778,2,99,15
283,10000,2371,2,95,17
284,10000,1881,2,97,16
285,10000,3397,2,96,18
286,10000,1881,2,98,16
287,10000,1881,2,99,16
288,10000,2371,2,97,17
289,10000,3397,2,95,18
290,10000,1187,2,96,19
291,10000,2371,2,98,17
292,10000,2371,2,99,17
293,10000,1187,2,95,19
294,10000,3397,2,97,18
295,10000,1416,2,96,0
296,10000,3397,2,98,18
297,10000,3397,2,99,18
298,10000,1416,2,95,0
299,10000,1187,2,97,19
300,10000,1118,2,96,1
301,10000,1187,2,98,19
302,10000,1187,2,99,19
303,10000,1416,2,97,0
304,10000,1118,2,95,1
305,10000,5547,2,96,2
306,10000,1416,2,99,0
307,10000,1416,2,98,0
308,10000,1118,2,97,1
309,10000,5547,2,95,2
310,10000,4861,2,96,3
311,10000,1118,2,98,1
312,10000,1118,2,99,1
313,10000,5547,2,97,2
314,10000,4861,2,95,3
315,10000,2368,2,96,4
316,10000,5547,2,99,2
317,10000,5547,2,98,2
318,10000,4861,2,97,3
319,10000,2368,2,95,4
320,10000,2243,2,96,5
321,10000,4861,2,99,3
322,10000,4861,2,98,3
323,10000,2243,2,95,5
324,10000,2368,2,97,4
325,10000,2292,2,96,6
326,10000,2368,2,99,4
327,10000,2368,2,98,4
328,10000,2292,2,95,6
329,10000,2243,2,97,5
330,10000,2395,2,96,7
331,10000,2243,2,99,5
332,10000,2243,2,98,5
333,10000,2292,2,97,6
334,10000,2395,2,95,7
335,10000,4451,2,96,8
336,10000,2292,2,99,6
337,10000,2292,2,98,6
338,10000,2395,2,97,7
